name,loss,rmse_orig,mae_orig,test_mse,test_mae,test_r2
"model_[33, 256, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0223114077908877,5.645435810089111,4.619244575500488,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0221573493423024,5.626382827758789,4.627774715423584,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0220448555668901,5.574245929718018,4.603837490081787,,,
"model_[33, 8, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.022038897862115,5.596803188323975,4.613008499145508,,,
"model_[33, 12, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0127192888994975,5.5596699714660645,4.616169452667236,,,
"model_[33, 8, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0127283655389954,5.591222286224365,4.629915237426758,,,
"model_[33, 8, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0127224351139654,5.5371856689453125,4.588378429412842,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0127153656366289,5.564116477966309,4.617255210876465,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0440726505746498,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0207777484884499,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0206459536507128,,,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0138932432622703,,,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0137050780507315,,,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0138374735329871,,,,,
"model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0135811215993098,,,,,
"model_[33, 16, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0313894361731291,,,,,
"model_[33, 16, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0319653610966229,,,,,
"model_[33, 32, 16, 8, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0345364354189692,,,,,
"model_[10, 8, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.035858791624854,,,,,
"model_[10, 32, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0343348322000921,,,21.565483684602,3.650646395248327,0.3273738647554296
"model_[10, 32, 16, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0357681809911045,,,22.52370112147173,3.843142077352645,0.2974871207012793
"model_[10, 32, 16, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0351270859170219,,,21.967575877817588,3.7234768252043673,0.3148326335041348
"model_[10, 32, 16, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0341112667465231,,,21.355259222555137,3.5968937357042536,0.3339307530454617
"model_[10, 32, 16, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0340241713422364,,,21.748136014576342,3.708368952653405,0.3216769496015264
"model_[10, 64, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0338112584355732,,,21.36200531975896,3.593820736838367,0.3337203426806143
"model_[10, 128, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0334747235047752,,,21.62172214832847,3.6469341331178806,0.3256197904642306
"model_[10, 128, 64, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0332121708551826,,,21.46478349839845,3.60744889390103,0.3305146974886577
"model_[10, 512, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0319075551984048,,,20.481360509152747,3.554593597288692,0.3611876012009591
"model_[10, 1028, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0319025825128715,,,20.39444933345414,3.52443831313091,0.3638983555283224
"model_[10, 1024, 10, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0317246255370369,,,21.07347866437621,3.6626156762294055,0.3427194716574295
"model_[10, 100, 2000, 100, 10, 1]_output_Identity_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.032379146392011775,,,21.04434914589148,3.7060140328119613,0.34362801958181066
